Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,1865562000.0,324,3,Planeación,Superintendencia de servicios públicos domiciliarios,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,10661500000.0,402,4,Información estadística,Fondo rotatorio del dane,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,690900000.0,402,4,Información estadística,Fondo rotatorio del dane,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,46812000000.0,403,4,Información estadística,Instituto geográfico agustín codazzi - igac,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,109000000.0,403,4,Información estadística,Instituto geográfico agustín codazzi - igac,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,477000000.0,403,4,Información estadística,Instituto geográfico agustín codazzi - igac,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,16500000000.0,503,5,Empleo público,Escuela superior de administración pública (esap),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,35300000000.0,503,5,Empleo público,Escuela superior de administración pública (esap),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",C-CONTRIBUCIONES PARAFISCALES,85798272000.0,503,5,Empleo público,Escuela superior de administración pública (esap),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,25362461000.0,602,6,Nación,Nación,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,181432000000.0,1102,11,Relaciones exteriores,Fondo rotatorio del ministerio de relaciones exteriores,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,29572000000.0,1102,11,Relaciones exteriores,Fondo rotatorio del ministerio de relaciones exteriores,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",11294000000.0,1104,11,Relaciones exteriores,Unidad administrativa especial migración colombia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,511000000000.0,1204,12,Justicia y del derecho,Superintendencia de notariado y registro,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,3193895798.0,1204,12,Justicia y del derecho,Superintendencia de notariado y registro,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,2587288945.0,1204,12,Justicia y del derecho,Superintendencia de notariado y registro,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",FONDOS ESPECIALES,62977533012.0,1204,12,Justicia y del derecho,Superintendencia de notariado y registro,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,150268000000.0,1204,12,Justicia y del derecho,Superintendencia de notariado y registro,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,21000000.0,1208,12,Justicia y del derecho,Instituto nacional penitenciario y carcelario - inpec,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",FONDOS ESPECIALES,114201944056.0,1208,12,Justicia y del derecho,Instituto nacional penitenciario y carcelario - inpec,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,425000000.0,1208,12,Justicia y del derecho,Instituto nacional penitenciario y carcelario - inpec,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,291300057800.0,1209,12,Justicia y del derecho,Nación,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,354000000.0,1309,13,Hacienda,Superintendencia de la economía solidaria,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",7799640406.0,1309,13,Hacienda,Superintendencia de la economía solidaria,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,3891000000.0,1309,13,Hacienda,Superintendencia de la economía solidaria,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,15489400000.0,1310,13,Hacienda,Unidad administrativa especial dirección de impuestos y aduanas nacionales,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,11035700000.0,1310,13,Hacienda,Unidad administrativa especial dirección de impuestos y aduanas nacionales,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,500000000.0,1313,13,Hacienda,Superintendencia financiera de colombia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",176371359000.0,1313,13,Hacienda,Superintendencia financiera de colombia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,300000000.0,1313,13,Hacienda,Superintendencia financiera de colombia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,3500000000.0,1313,13,Hacienda,Superintendencia financiera de colombia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE AFILIADOS,129853135894.0,1503,15,Defensa y policía,Caja de retiro de las fuerzas militares,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,19246345000.0,1503,15,Defensa y policía,Caja de retiro de las fuerzas militares,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,61087854556.0,1503,15,Defensa y policía,Caja de retiro de las fuerzas militares,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,9449000000.0,1507,15,Defensa y policía,Instituto casas fiscales del ejército,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OPERACIONES COMERCIALES,9393248000.0,1507,15,Defensa y policía,Instituto casas fiscales del ejército,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,4821437000.0,1507,15,Defensa y policía,Instituto casas fiscales del ejército,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,9473700000.0,1507,15,Defensa y policía,Instituto casas fiscales del ejército,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,3982000000.0,1507,15,Defensa y policía,Instituto casas fiscales del ejército,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,2779000000.0,1508,15,Defensa y policía,"Defensa civil colombiana, guillermo león valencia",2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,1162200000.0,1508,15,Defensa y policía,"Defensa civil colombiana, guillermo león valencia",2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OPERACIONES COMERCIALES,18807713072.0,1510,15,Defensa y policía,Club militar de oficiales,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE AFILIADOS,17938940000.0,1510,15,Defensa y policía,Club militar de oficiales,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE AFILIADOS,141605493554.0,1511,15,Defensa y policía,Caja de sueldos de retiro de la policía nacional,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,19790606446.0,1511,15,Defensa y policía,Caja de sueldos de retiro de la policía nacional,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,73050900000.0,1511,15,Defensa y policía,Caja de sueldos de retiro de la policía nacional,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,136583000000.0,1512,15,Defensa y policía,Fondo rotatorio de la policía,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OPERACIONES COMERCIALES,165439000000.0,1512,15,Defensa y policía,Fondo rotatorio de la policía,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,846000000.0,1512,15,Defensa y policía,Fondo rotatorio de la policía,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,18419000000.0,1512,15,Defensa y policía,Fondo rotatorio de la policía,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",CONTRIBUCIONES,10650100000.0,1516,15,Defensa y policía,Superintendencia de vigilancia y seguridad privada,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,184499237000.0,1519,15,Defensa y policía,Hospital militar,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,3496333000.0,1519,15,Defensa y policía,Hospital militar,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,1552438000.0,1519,15,Defensa y policía,Hospital militar,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,438743875000.0,1520,15,Defensa y policía,Agencia logística de las fuerzas militares,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OPERACIONES COMERCIALES,534689482669.0,1520,15,Defensa y policía,Agencia logística de las fuerzas militares,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,900000000.0,1520,15,Defensa y policía,Agencia logística de las fuerzas militares,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,4411000000.0,1520,15,Defensa y policía,Agencia logística de las fuerzas militares,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,28707894000.0,1702,17,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,2000000000.0,1702,17,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,2300000000.0,1702,17,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,20368000000.0,1702,17,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,3674000.0,1713,17,Agricultura y desarrollo rural,Incoder,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,3271600000.0,1713,17,Agricultura y desarrollo rural,Incoder,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,6680919000.0,1713,17,Agricultura y desarrollo rural,Incoder,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,2022707320.0,1715,17,Agricultura y desarrollo rural,Autoridad nacional de acuicultura y pesca - aunap,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,2686144076.0,1903,19,Salud y protección social,Instituto nacional de salud (ins),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,1081000000.0,1903,19,Salud y protección social,Instituto nacional de salud (ins),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",63948700000.0,1910,19,Salud y protección social,Superintendencia nacional de salud,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,5098637546.0,1910,19,Salud y protección social,Superintendencia nacional de salud,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",95144500000.0,1912,19,Salud y protección social,Instituto nacional de vigilancia de medicamentos y alimentos - invima,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,2509000000.0,1912,19,Salud y protección social,Instituto nacional de vigilancia de medicamentos y alimentos - invima,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,59990871333.0,1912,19,Salud y protección social,Instituto nacional de vigilancia de medicamentos y alimentos - invima,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,2284000.0,1913,19,Salud y protección social,Fondo de previsión social del congreso ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES PATRONALES,15907092000.0,1913,19,Salud y protección social,Fondo de previsión social del congreso ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE AFILIADOS,3180734000.0,1913,19,Salud y protección social,Fondo de previsión social del congreso ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,141411217000.0,1913,19,Salud y protección social,Fondo de previsión social del congreso ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,686400000.0,1914,19,Salud y protección social,Fondo pasivo social de ferrocarriles nacionales de colombia ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",INGRESOS POR U.P.C. REGIMEN CONTRIBUTIVO,69598010841.0,1914,19,Salud y protección social,Fondo pasivo social de ferrocarriles nacionales de colombia ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",INGRESOS ADMINISTRADOS DEL FOSYGA,2734000000.0,1914,19,Salud y protección social,Fondo pasivo social de ferrocarriles nacionales de colombia ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,6118581615.0,1914,19,Salud y protección social,Fondo pasivo social de ferrocarriles nacionales de colombia ,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,17429091000.0,1915,19,Salud y protección social,Nación,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,5372600000.0,2103,21,Minas y energía,Servicio geológico colombiano,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,139812300000.0,2103,21,Minas y energía,Servicio geológico colombiano,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,30697081000.0,2109,21,Minas y energía,Unidad de planeacion minero energética - upme,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,10997780000.0,2109,21,Minas y energía,Unidad de planeacion minero energética - upme,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,3398000000.0,2110,21,Minas y energía,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,24244900000.0,2110,21,Minas y energía,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,391828863000.0,2111,21,Minas y energía,Agencia nacional de hidrocarburos - anh,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,173000000000.0,2111,21,Minas y energía,Agencia nacional de hidrocarburos - anh,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,77198200000.0,2112,21,Minas y energía,Agencia nacional de minería - anm,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,2160000000.0,2112,21,Minas y energía,Agencia nacional de minería - anm,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,219186010.0,2209,22,Educación,Nación,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,407000000.0,2209,22,Educación,Nación,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,6700746400.0,2209,22,Educación,Nación,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,342217793.0,2210,22,Educación,Instituto nacional para ciegos (inci),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,83000000.0,2210,22,Educación,Instituto nacional para ciegos (inci),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,263700000.0,2210,22,Educación,Instituto nacional para ciegos (inci),2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,5700959834.0,2234,22,Educación,Escuela tecnológica instituto técnico central,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OPERACIONES COMERCIALES,414000000.0,2234,22,Educación,Escuela tecnológica instituto técnico central,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,400000000.0,2234,22,Educación,Escuela tecnológica instituto técnico central,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,764000000.0,2234,22,Educación,Escuela tecnológica instituto técnico central,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,324890000.0,2238,22,Educación,Instituto nacional de formación técnica profesional de san andres y providencia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,97073269.0,2238,22,Educación,Instituto nacional de formación técnica profesional de san andres y providencia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,117450000.0,2238,22,Educación,Instituto nacional de formación técnica profesional de san andres y providencia,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,423496304.0,2239,22,Educación,Instituto nacional de formación técnica profesional de san juan del cesar,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,1003543093.0,2239,22,Educación,Instituto nacional de formación técnica profesional de san juan del cesar,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,1211000000.0,2239,22,Educación,Instituto nacional de formación técnica profesional de san juan del cesar,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,3681703895.0,2241,22,Educación,Instituto tolimense de formación técnica profesional,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OPERACIONES COMERCIALES,31900000.0,2241,22,Educación,Instituto tolimense de formación técnica profesional,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,16700000.0,2241,22,Educación,Instituto tolimense de formación técnica profesional,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,572900000.0,2241,22,Educación,Instituto tolimense de formación técnica profesional,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,1399498346.0,2242,22,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,29000000.0,2242,22,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,81000000.0,2242,22,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",1033153900000.0,2306,23,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,2789700000.0,2306,23,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,294174900000.0,2306,23,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,28164000000.0,2309,23,Tecnologías de la información y las comunicaciones,Agencia nacional del espectro - ane,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",421787267543.0,2402,24,Transporte,Instituto nacional de vías,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,132144900000.0,2402,24,Transporte,Instituto nacional de vías,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,171457751262.0,2412,24,Transporte,Unidad administrativa especial de la aeronáutica civil,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,283632100000.0,2412,24,Transporte,Unidad administrativa especial de la aeronáutica civil,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,6000000000.0,2412,24,Transporte,Unidad administrativa especial de la aeronáutica civil,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,73224746670.0,2413,24,Transporte,Agencia nacional de infraestructura,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,47400000000.0,2413,24,Transporte,Agencia nacional de infraestructura,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,4000000000.0,2413,24,Transporte,Agencia nacional de infraestructura,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,430000000.0,2602,26,Organismos de control,Fondo de bienestar social de la contraloría general de la república,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,506000000.0,2602,26,Organismos de control,Fondo de bienestar social de la contraloría general de la república,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,32245000000.0,2602,26,Organismos de control,Fondo de bienestar social de la contraloría general de la república,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,40696666056.0,2802,28,Registraduría,Fondo rotatorio de la registraduría,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,272433944.0,2802,28,Registraduría,Fondo rotatorio de la registraduría,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,5367900000.0,2802,28,Registraduría,Fondo rotatorio de la registraduría,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,6924000000.0,2803,28,Registraduría,Fondo social de vivienda de la registraduría nacional del estado civil,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",VENTA DE BIENES Y SERVICIOS,265000000.0,2902,29,Fiscalía,Instituto nacional de medicina legal y ciencias forenses,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",APORTES DE OTRAS ENTIDADES,5500000000.0,2902,29,Fiscalía,Instituto nacional de medicina legal y ciencias forenses,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,89500000.0,2902,29,Fiscalía,Instituto nacional de medicina legal y ciencias forenses,2013
